h3Index,avgAcceleration
8d1f1eb833b42ff,
8d1f1eb833b55bf,
8d1f1eb833b543f,
8d1f1eb833b547f,
8d1f1eb833b573f,
8d1f1eb833b577f,
8d1f1eb833b52bf,
8d1f1eb833b193f,
8d1f1eb833b197f,
8d1f1eb833a24bf,
8d1f1eb833a24ff,
8d1f1eb833a27bf,
8d1f1eb833a263f,
8d1f1eb833a267f,
8d1f1eb8338493f,
8d1f1eb8338497f,
8d1f1eb833a34bf,
8d1f1eb833a34ff,
8d1f1eb833a37bf,
8d1f1eb833a363f,
8d1f1eb833a367f,
8d1f1eb8338593f,
8d1f1eb8338597f,
8d1f1eb833ae5bf,
8d1f1eb833ae43f,
8d1f1eb833ae47f,
8d1f1eb833ae73f,
8d1f1eb833ae77f,
8d1f1eb833ae2bf,
8d1f1eb833ae2ff,
8d1f1eb833ae27f,
8d1f1eb833a853f,
8d1f1eb833a857f,
8d1f1eb833a80bf,
8d1f1eb833a80ff,
8d1f1eb833a83bf,
8d1f1eb833a823f,
8d1f1eb833a827f,
8d1f1eb833a953f,
8d1f1eb833a957f,
8d1f1eb833a90bf,
8d1f1eb833a90ff,
8d1f1eb833a907f,
8d1f1eb833a93bf,
8d1f1eb833a923f,
8d1f1eb833a937f,
8d1f1eb83234cbf,
8d1f1eb83234cff,
8d1f1eb8323457f,
8d1f1eb832340bf,
8d1f1eb832340ff,
8d1f1eb8323407f,
8d1f1eb832343bf,
8d1f1eb8323423f,
8d1f1eb8323427f,
8d1f1eb8323553f,
8d1f1eb8323557f,
8d1f1eb832350bf,
8d1f1eb832350ff,
8d1f1eb832353bf,
8d1f1eb832352bf,
8d1f1eb832352ff,
8d1f1eb832225bf,
8d1f1eb8322243f,
8d1f1eb8322247f,
8d1f1eb8322273f,
8d1f1eb8322277f,
8d1f1eb832222bf,
8d1f1eb8320493f,
8d1f1eb8320497f,
8d1f1eb832234bf,
8d1f1eb832234ff,
8d1f1eb832236bf,
8d1f1eb832236ff,
8d1f1eb832059bf,
8d1f1eb8320583f,
8d1f1eb8320587f,
8d1f1eb83205b3f,
8d1f1eb83205a3f,
8d1f1eb83205a7f,
8d1f1eb8322ad3f,
8d1f1eb8322ad7f,
8d1f1eb8322a8bf,
8d1f1eb8322a8ff,
8d1f1eb8322a17f,
8d1f1eb8322aabf,
8d1f1eb8322aaff,
8d1f1eb8322a37f,
8d1f1eb8322bcbf,
8d1f1eb8322bcff,
8d1f1eb8322b1bf,
8d1f1eb8322b03f,
8d1f1eb8322b07f,
8d1f1eb8322b23f,
8d1f1eb8322b27f,
8d1f1eb8327653f,
8d1f1eb8327657f,
8d1f1eb832760bf,
8d1f1eb8327673f,
8d1f1eb8327677f,
8d1f1eb832763bf,
8d1f1eb832762bf,
8d1f1eb832762ff,
8d1f1eb832705bf,
8d1f1eb8327043f,
8d1f1eb8327047f,
8d1f1eb832707bf,
8d1f1eb8327063f,
8d1f1eb8327067f,
8d1f1eb8327393f,
8d1f1eb8327397f,
8d1f1eb8327387f,
8d1f1eb83273b3f,
8d1f1eb83273b7f,
8d1f1eb832716bf,
8d1f1eb832716ff,
8d1f1eb832469bf,
8d1f1eb8324683f,
8d1f1eb832468ff,
8d1f1eb83246bbf,
8d1f1eb83246a3f,
8d1f1eb83246a7f,
8d1f1eb83240d3f,
8d1f1eb83240d7f,
8d1f1eb83240c7f,
8d1f1eb8324013f,
8d1f1eb8324017f,
8d1f1eb83240abf,
8d1f1eb83240aff,
8d1f1eb83241dbf,
8d1f1eb83241c3f,
8d1f1eb83241c7f,
8d1f1eb8324113f,
8d1f1eb8324103f,
8d1f1eb8324107f,
8d1f1eb8324133f,
8d1f1eb8324137f,
8d1f1eb8324ccbf,
8d1f1eb8324ccff,
8d1f1eb8324c1bf,
8d1f1eb8324c03f,
8d1f1eb8324c0ff,
8d1f1eb8324c3bf,
8d1f1eb8324c23f,
8d1f1eb8324c27f,
8d1f1eb8324d53f,
8d1f1eb8324d43f,
8d1f1eb8324d47f,
8d1f1eb8324d73f,
8d1f1eb8324d77f,
8d1f1eb8324d2bf,
8d1f1eb8324d2ff,
8d1f1eb8324997f,
8d1f1eb8e5324bf,
8d1f1eb8e5324ff,
8d1f1eb8e5327bf,
8d1f1eb8e53263f,
8d1f1eb8e53267f,
8d1f1eb8e5149bf,
8d1f1eb8e51483f,
8d1f1eb8e51487f,
8d1f1eb8e514b3f,
8d1f1eb8e514b7f,
8d1f1eb8e5336bf,
8d1f1eb8e515d3f,
8d1f1eb8e515d7f,
8d1f1eb8e5158bf,
8d1f1eb8e5158ff,
8d1f1eb8e515bbf,
8d1f1eb8e515a3f,
8d1f1eb8e515a7f,
8d1f1eb8e502d3f,
8d1f1eb8e502d7f,
8d1f1eb8e5028bf,
8d1f1eb8e50213f,
8d1f1eb8e5028ff,
8d1f1eb8e502bbf,
8d1f1eb8e502a3f,
8d1f1eb8e502aff,
8d1f1eb8e502a7f,
8d1f1eb8e503d3f,
8d1f1eb8e503d7f,
8d1f1eb8e5038bf,
8d1f1eb8e5038ff,
8d1f1eb8e50387f,
8d1f1eb8e503b3f,
8d1f1eb8e503b7f,
8d1f1eb8e5017bf,
8d1f1eb8e50163f,
8d1f1eb8e50167f,
8d1f1eb8e50e93f,
8d1f1eb8e5012ff,
8d1f1eb8e50c5bf,
8d1f1eb8e50c43f,
8d1f1eb8e50c57f,
8d1f1eb8e50c0bf,
8d1f1eb8e50c0ff,
8d1f1eb8e50c07f,
8d1f1eb8e50c33f,
8d1f1eb8e50c37f,
8d1f1eb8e50ddbf,
8d1f1eb8e50dc3f,
8d1f1eb8e50dc7f,
8d1f1eb8e50d8bf,
8d1f1eb8e50d8ff,
8d1f1eb8e50d87f,
8d1f1eb8e50db3f,
8d1f1eb8e50db7f,
8d1f1eb8e5767bf,
8d1f1eb8e57663f,
8d1f1eb8e57677f,
8d1f1eb8e5762bf,
8d1f1eb8e57623f,
8d1f1eb8e57627f,
8d1f1eb8e570cbf,
8d1f1eb8e570cff,
8d1f1eb8e570c7f,
8d1f1eb8e5708ff,
8d1f1eb8e57087f,
8d1f1eb8e570b3f,
8d1f1eb8e5754ff,
8d1f1eb8e5757bf,
8d1f1eb8e57573f,
8d1f1eb8e57577f,
8d1f1eb8e5752bf,
8d1f1eb8e57523f,
8d1f1eb8e562cbf,
8d1f1eb8e562cff,
8d1f1eb8e56213f,
8d1f1eb8e56217f,
8d1f1eb8e562bbf,
8d1f1eb8e562a3f,
8d1f1eb8e562a7f,
8d1f1eb8e5606bf,
8d1f1eb8e5606ff,
8d1f1eb8e56067f,
8d1f1eb8e56393f,
8d1f1eb8e56397f,
8d1f1eb8e5615bf,
8d1f1eb8e56143f,
8d1f1eb8e56147f,
8d1f1eb8e56173f,
8d1f1eb8e56177f,
8d1f1eb8e5612bf,
8d1f1eb8e5612ff,
8d1f1eb8e56c5bf,
8d1f1eb8e56c43f,
8d1f1eb8e56c57f,
8d1f1eb8e56c47f,
8d1f1eb8e56c73f,
8d1f1eb8e56c77f,
8d1f1eb8e56c2bf,
8d1f1eb8e56c2ff,
8d1f1eb8e56d5bf,
8d1f1eb8e56d43f,
8d1f1eb8e56d57f,
8d1f1eb8e56d0bf,
8d1f1eb8e56d0ff,
8d1f1eb8e56d3bf,
8d1f1eb8e56d23f,
8d1f1eb8e56d27f,
8d1f1eb8e19a53f,
8d1f1eb8e19acff,
8d1f1eb8e19a1bf,
8d1f1eb8e19a03f,
8d1f1eb8e19a07f,
8d1f1eb8e19a33f,
8d1f1eb8e19a37f,
8d1f1eb8e19bcbf,
8d1f1eb8e19bcff,
8d1f1eb8e19b1bf,
8d1f1eb8e19b13f,
8d1f1eb8e19b17f,
8d1f1eb8e19babf,
8d1f1eb8e19baff
